Surname;Given names;Nation;Flights;time_in_space;sex_or_genderLabel;birth;death;age
Padalka;Gennadi Ivanovich;USSR;5;1265009;male;21.6.1958;;
Malenchenko;Yuri Ivanovich;USSR;6;1191440;male;22.12.1961;;
Krikalev;Sergei Konstantinovich;USSR;6;1156898;male;27.8.1958;;
Kaleri;Aleksandr Yuriyevich;USSR;5;1107753;male;13.5.1956;;
Avdeyev;Sergei Vasiliyevich;USSR;3;1076531;male;1.1.1956;;
Kononenko;Oleg Dmitriyevich;Russia;4;1060963;male;21.6.1964;;
Polyakov;Valeri Vladimirovich;USSR;2;977312;male;27.4.1942;;
Yurchikhin;Fyodor Nikolayevich;Russia;5;968918;male;3.1.1959;;
Whitson;Peggy Annette;USA;3;958942;female;9.2.1960;;
Solovyev;Anatoli Yakovlevich;USSR;5;937438;male;16.1.1948;;
Afanasyev;Viktor Mikhailovich;USSR;4;800312;male;31.12.1948;;
Usachov;Yuri Vladimirovich;USSR;4;796223;male;9.10.1957;;
Volkov;Sergei Aleksandrovich;Russia;3;789020;male;1.4.1973;;
Vinogradov;Pavel Vladimirovich;Russia;3;787591;male;31.8.1953;;
Manarov;Musa Khiromanovich;USSR;2;779068;male;22.3.1951;;
Williams;Jeffrey Nels;USA;4;769128;male;18.1.1958;;
Shkaplerov;Anton Nikolayevich;Russia;3;767851;male;20.2.1972;;
Tyurin;Mikhail Vladislavovich;Russia;3;766251;male;2.3.1960;;
Kotov;Oleg Valeriyevich;Russia;3;757741;male;27.10.1965;;
Kelly;Scott Joseph;USA;4;749430;male;21.2.1964;;
Korniyenko;Mikhail Borisovich;Russia;2;743640;male;15.4.1960;;
Viktorenko;Aleksandr Stepanovich;USSR;4;704253;male;29.3.1947;;
Budarin;Nikolai Mikhailovich;USSR;3;639443;male;29.4.1953;;
Romanenko;Yuri Viktorovich;USSR;3;620301;male;1.8.1944;;
Volkov;Aleksandr Aleksandrovich;USSR;3;563751;male;27.5.1948;;
Onufriyenko;Yuri Ivanovich;USSR;2;561045;male;6.2.1961;;
Titov;Vladimir Georgiyevich;USSR;4;557323;male;1.1.1947;;
Tsibliyev;Vasili Vasiliyevich;USSR;2;549592;male;20.2.1954;;
Korzun;Valeri Grigoriyevich;USSR;2;549580;male;5.3.1953;;
Fincke;"Edward Michael ""Mike""";USA;3;549547;male;14.3.1967;;
Ovchinin;Aleksei Nikolaevich;Russia;2;539732;male;28.9.1971;;
Kizim;Leonid Denisovich;USSR;3;539636;male;5.8.1941;14.6.2010;69
Foale;Colin Michael;USA;6;538216;male;6.1.1957;;
Serebrov;Aleksandr Aleksandrovich;USSR;4;537052;male;15.2.1944;12.11.2013;69
Ryumin;Valeri Viktorovich;USSR;4;535284;male;16.8.1939;;
Pettit;Donald Roy;USA;3;532361;male;20.4.1955;;
Artemyev;Oleg Germanovich;Russia;2;526985;male;28.12.1970;;
Gerst;Alexander;Germany;2;521391;male;3.5.1976;;
Solovyov;Vladimir Alekseyevich;USSR;2;521209;male;11.11.1946;;
Reiter;Thomas Arthur;Germany;2;504335;male;23.5.1958;;
Wakata;Koichi;Japan;4;500190;male;1.8.1963;;
Skvortsov;Aleksandr Aleksandrovich Jr.;Russia;3;497183;male;6.5.1966;;
Musabayev;Talgat Amangeldyyevich;USSR;3;491626;male;7.1.1951;;
Novitskiy;Oleg Viktorovich;Russia;2;490205;male;12.10.1971;;
Borisenko;Andrei Ivanovich;Russia;2;485816;male;17.4.1964;;
